schedulertest,ticks0,aql0,mql0,rpt0,spt0,lg0,ticks1,aql1,mql1,rpt1,spt1,lg1,ticks2,aql2,mql2,rpt2,spt2,lg2,ticks3,aql3,mql3,rpt3,spt3,lg3,ticks4,aql4,mql4,rpt4,spt4,lg4,ticks5,aql5,mql5,rpt5,spt5,lg5,ticks6,aql6,mql6,rpt6,spt6,l76,ticks7,aql7,mql7,rpt7,spt7,lg7,aticks,sd,areducts,sd,asyncs,sd,mlg,agaps,sdg
clustercomm-erlam_sched_single9-2-2,2551,0,0,2475,73,35353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318.875,843.663949316,309.375,818.529311861,9.125,24.1424807135,35353,4419.125,11691.9057625
clustercomm-erlam_sched_single2-1-2,522,0,0,477,42,11259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.25,172.635273047,59.625,157.752921922,5.25,13.8901943831,11259,1407.375,3723.56425141
clustercomm-erlam_sched_single20-7-2,13107,0,0,12881,223,94507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638.375,4334.73280427,1610.125,4259.99032973,27.875,73.7503177959,94507,11813.375,31255.2523943
clustercomm-erlam_sched_single20-5-2,9277,0,0,9110,164,83371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1159.625,3068.07936409,1138.75,3012.84930547,20.5,54.2379018768,83371,10421.375,27572.3665693
clustercomm-erlam_sched_single20-4-2,7697,0,0,7566,128,69721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,962.125,2545.54348016,945.75,2502.21930244,16.0,42.332020977,69721,8715.125,23058.0533948
clustercomm-erlam_sched_single20-2-2,4437,0,0,4343,91,49654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,554.625,1467.3998209,542.875,1436.31224299,11.375,30.0954211634,49654,6206.75,16421.51695
chugmachine-erlam_sched_single4-40-39,753,0,0,649,94,5203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.125,249.031342154,81.125,214.63657511,11.75,31.087577905,5203,650.375,1720.73050893
chugmachine-erlam_sched_single9-40-39,2053,0,0,1539,484,19032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256.625,678.965930202,192.375,508.976408466,60.5,160.067954319,19032,2379.0,6294.24236902
chugmachine-erlam_sched_single1-20-19,70,0,0,69,0,729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.75,23.1503239718,8.625,22.8196050579,0.0,0.0,729,91.125,241.094088221
chugmachine-erlam_sched_single8-10-9,1247,0,0,881,340,19692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.875,412.406485612,110.125,291.363363131,42.5,112.44443072,19692,2461.5,6512.51685219
chugmachine-erlam_sched_single1-10-9,40,0,0,39,0,21892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,13.2287565553,4.875,12.8980376414,0.0,0.0,21892,2736.5,7240.09846273
chugmachine-erlam_sched_single8-40-39,1769,0,0,1361,382,15419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.125,585.041758659,170.125,450.108441795,47.75,126.334625103,15419,1927.375,5099.35493316
chugmachine-erlam_sched_single1-40-39,110,0,0,109,0,730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.75,36.3790805271,13.625,36.0483616133,0.0,0.0,730,91.25,241.424807135
chugmachine-erlam_sched_single4-10-9,495,0,0,409,76,9171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.875,163.705862372,51.125,135.264035778,9.5,25.1346374551,9171,1146.375,3033.02315922
chugmachine-erlam_sched_single9-10-9,1465,0,0,999,436,17161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.125,484.503208839,124.875,330.388194969,54.5,144.193446453,17161,2145.125,5675.46728115
chugmachine-erlam_sched_single3-10-9,337,0,0,291,40,2933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.125,111.452273979,36.375,96.23920394,5.0,13.2287565553,2933,366.625,969.998574419
chugmachine-erlam_sched_single9-20-19,1677,0,0,1179,468,15880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209.625,554.615618582,147.375,389.917599468,58.5,154.776451697,15880,1985.0,5251.81635246
chugmachine-erlam_sched_single2-40-39,317,0,0,293,22,2344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.625,104.837895701,36.625,96.9006417677,2.75,7.27581610543,2344,293.0,775.205134142
chugmachine-erlam_sched_single4-20-19,587,0,0,489,88,4813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.375,194.132002449,61.125,161.721548889,11.0,29.1032644217,4813,601.625,1591.75013252
chugmachine-erlam_sched_single3-40-39,529,0,0,471,52,3436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.125,174.950305444,58.875,155.768608439,6.5,17.1973835219,3436,429.5,1136.3501881
chugmachine-erlam_sched_single2-20-19,235,0,0,213,20,2494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.375,77.7189447625,26.625,70.4431286571,2.5,6.61437827766,2494,311.75,824.812971224
chugmachine-erlam_sched_single3-20-19,405,0,0,351,48,3467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.625,133.941160123,43.875,116.082338773,6.0,15.8745078664,3467,433.375,1146.60247443
chugmachine-erlam_sched_single8-20-19,1435,0,0,1041,368,15220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179.375,474.581641422,130.125,344.278389352,46.0,121.704560309,15220,1902.5,5033.5418693
chugmachine-erlam_sched_single2-10-9,191,0,0,173,16,20276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.875,63.1673125517,21.625,57.2143721018,2.0,5.29150262213,20276,2534.5,6705.65669789
ptree-erlam_sched_multi_ws_sq9-10-5,12139,34,46,11430,111,1771340,5136,1,4,4561,220,2247072,6498,5,9,5966,187,2600071,6300,3,7,5767,200,3700795,7345,6,9,6767,198,2836832,6758,4,9,6166,205,1994695,5800,1,6,5237,207,2796565,5926,3,6,5377,221,2841038,6987.75,2043.14969777,6408.875,1995.61327901,193.625,32.9466898944,3700795,2598551.0,563714.141316
ptree-erlam_sched_multi_ws_sq8-10-5,10456,4,7,9437,467,1793280,10756,1,5,9694,458,2249209,11376,2,7,10263,475,1459804,10462,1,7,9372,490,3550623,22643,34,46,21200,305,2200183,10888,3,8,9820,476,3930812,10013,4,8,9023,437,3231059,12613,2,5,11457,454,1249304,12400.875,3940.72672351,11283.25,3811.9891707,445.25,55.0948046552,3930812,2458034.25,933399.543066
ptree-erlam_sched_multi_ws_sq2-10-5,1159,0,3,1083,12,374923,989,1,4,917,12,604817,940,1,3,866,13,767700,922,0,1,833,10,538519,1128,2,4,1056,7,685021,917,0,1,830,10,733029,1348,2,6,1265,10,316543,994,0,2,897,14,552136,1049.625,141.332000534,968.375,143.392762631,11.0,2.06155281281,767700,571586.0,151530.252028
ptree-erlam_sched_multi_ws_sq3-10-5,1993,6,9,1873,18,423374,919,0,1,834,13,1462434,1413,2,5,1306,13,739529,1256,3,6,1179,14,1447987,1506,2,6,1393,18,823486,1440,0,2,1337,17,1061436,1168,0,2,1070,16,1035093,1424,0,1,1335,15,1172349,1389.875,289.467371866,1290.875,279.203974497,15.5,1.9364916731,1462434,1020711.0,331156.297844
ptree-erlam_sched_multi_ws_sq1-10-5,621,0,2,562,6,525597,511,0,1,435,5,533425,660,0,1,585,5,321670,563,0,2,466,8,599435,471,0,1,398,6,564182,684,0,1,593,7,265867,428,0,2,366,3,603805,578,0,2,492,3,766187,564.5,84.4200805496,487.125,80.7750541628,5.375,1.65359456942,766187,522521.0,149988.486824
ptree-erlam_sched_multi_ws_sq4-10-5,2877,3,6,2702,31,405110,2184,2,5,2033,34,1476689,2091,1,4,1918,50,1275065,2367,2,7,2191,40,1559820,1831,1,6,1675,41,1447403,2977,6,8,2780,35,428880,3413,7,9,3199,34,443748,2216,1,3,2036,37,904221,2494.5,501.999501992,2316.75,485.717960858,37.75,5.56214886532,1559820,992617.0,476272.904316
pring-erlam_sched_multi_ws_sq20-2-2,1383,1,2,1230,69,4898,105,0,0,5,5,33200,114,0,0,12,7,33299,103,0,0,2,2,24129,35,0,0,2,2,98938,125,0,0,8,8,22208,113,0,0,8,8,26280,70,0,0,3,3,83190,256.0,426.841598254,158.75,404.907628355,13.0,21.295539439,98938,40767.75,30443.2351548
pring-erlam_sched_multi_ws_sq10-2-2,741,1,2,655,39,7560,51,0,0,1,1,22637,60,0,0,2,2,22130,60,0,0,2,2,22478,53,0,0,2,2,22350,54,0,0,1,1,25901,61,0,0,2,2,24796,65,0,0,5,5,22688,143.125,226.018493436,83.75,215.915347995,6.75,12.2448968963,25901,21317.5,5351.04620612
pring-erlam_sched_multi_ws_sq8-2-2,609,1,2,538,32,4465,37,0,0,1,1,23540,53,0,0,4,4,22747,34,0,0,2,2,43984,49,0,0,1,1,22216,31,0,0,1,1,56169,42,0,0,2,2,32489,45,0,0,0,0,21882,112.5,187.788444799,68.625,177.4104968,5.375,10.1234566725,56169,28436.5,14747.3476175
pring-erlam_sched_multi_ws_sq9-2-2,308,0,2,219,12,11410,56,0,0,1,1,23561,428,1,2,362,26,12556,55,0,0,3,3,23148,66,0,0,2,2,23549,59,0,0,1,1,21800,82,0,1,21,3,12589,57,0,0,1,1,22078,138.875,135.890063562,76.25,128.913488433,6.125,8.25284042012,23561,18836.375,5196.58640209
pring-erlam_sched_multi_ws_sq6-2-2,218,0,2,159,9,22334,47,0,0,2,2,13248,37,0,0,1,1,24244,42,0,0,2,2,22256,36,0,0,0,0,22420,69,0,1,22,3,13248,284,1,2,243,15,14244,36,0,0,1,1,25204,96.125,91.4842028713,53.75,87.829024246,4.125,4.85894793139,25204,19649.75,4806.45123116
pring-erlam_sched_multi_ws_sq2-2-2,176,1,2,148,10,11512,19,0,0,0,0,21861,16,0,0,0,0,21988,16,0,0,0,0,22953,88,1,2,58,6,15396,18,0,0,0,0,23670,15,0,0,0,0,26095,12,0,0,0,0,26449,45.0,54.8703016212,25.75,49.9543541646,2.0,3.60555127546,26449,21240.5,4864.09598487
pring-erlam_sched_multi_ws_sq4-2-2,184,0,2,138,8,21842,63,0,1,23,4,22683,30,0,0,0,0,34969,46,0,1,20,2,23496,29,0,0,0,0,22294,28,0,0,0,0,22622,158,1,2,128,8,24433,35,0,0,1,1,21725,71.625,58.7514627477,38.75,55.1650931296,2.875,3.2185982974,34969,24258.0,4132.2565264
clustercomm-erlam_sched_multi_ws_sq20-4-2,631,0,2,587,7,258347,491,0,1,442,1,183889,592,0,0,526,2,300002,220,0,0,160,0,369086,452,0,1,401,2,331358,554,3,6,491,0,167584,497,0,0,419,2,314539,577,0,1,502,2,123415,501.75,120.020571153,441.0,120.316249942,2.0,2.06155281281,369086,256027.5,82486.3110204
clustercomm-erlam_sched_multi_ws_sq20-8-2,1451,0,2,1361,4,663946,1228,0,2,1126,5,277561,987,0,1,901,2,799880,1041,0,1,955,2,808674,999,0,1,872,4,512541,1214,0,0,1082,3,408790,1584,4,7,1460,0,272718,1368,0,0,1237,3,329662,1234.0,206.59864472,1124.25,201.679045763,2.875,1.45236875483,808674,509221.5,209175.000408
clustercomm-erlam_sched_multi_ws_sq9-2-2,440,0,2,412,3,79945,190,0,0,149,1,177328,362,1,2,332,1,158329,332,0,1,290,2,173022,352,0,0,294,2,244467,159,0,1,143,1,547183,190,0,0,156,1,350344,293,0,2,256,4,85280,289.75,93.8492807644,254.0,91.4453388643,1.875,1.05326872165,547183,226987.25,145706.194252
clustercomm-erlam_sched_multi_ws_sq20-10-2,1412,3,8,1343,1,283823,1095,0,3,996,4,269568,1117,0,1,1037,2,640890,1087,0,0,994,2,353886,1084,0,0,1001,1,622908,1058,0,0,981,1,750829,961,0,0,889,2,1139952,998,0,1,930,2,1502906,1101.5,127.256630476,1021.375,128.936939529,1.875,0.927024810887,1502906,695595.25,407484.854214
clustercomm-erlam_sched_multi_ws_sq9-4-2,663,0,2,628,3,154877,454,0,0,378,1,177550,526,0,1,458,4,275053,363,0,0,272,2,402144,458,0,1,415,2,442079,492,0,1,409,2,117684,481,0,2,436,1,226741,546,0,1,489,2,194763,497.875,80.9312014924,435.625,94.5951075638,2.125,0.927024810887,442079,248861.375,109576.707599
clustercomm-erlam_sched_multi_ws_sq8-4-2,605,0,3,573,2,85789,50,0,0,0,0,548280,326,0,0,276,1,317831,327,0,1,296,1,307915,461,0,2,419,5,174624,309,0,0,277,1,456858,474,0,1,424,2,130705,389,0,0,313,2,190774,367.625,151.881481343,322.25,154.675264668,1.75,1.39194109071,548280,276597.0,151839.960598
clustercomm-erlam_sched_multi_ws_sq8-1-2,323,0,2,293,4,94633,128,0,0,89,1,321970,258,0,1,230,2,147097,93,0,0,71,1,253176,294,0,1,248,2,119795,166,0,2,134,4,190963,237,0,2,199,1,79065,127,0,1,108,1,155298,203.25,80.4141623099,171.5,76.7609926981,2.0,1.22474487139,321970,170249.625,77187.0082137
